Country,export,exportp
Aruba,136764.75,8.96
Afghanistan,696410.25,11.77
Angola,2987024.17,23.61
Anguila,23000.89,9.73
Albania,1698325.03,14.06
Andorra,345823.39,11.23
United Arab Emirates,68363898.38,25.34
Argentina,17098277.02,26.15
Armenia,924307.28,18.44
American Samoa,7166.62,4.64
Antarctica,6845.47,6.64
Fr. So. Ant. Tr,20873.36,34.59
Antigua and Barbuda,76840.48,4.6
Australia,68456060.43,24.5
Austria,50185709.15,25.28
Azerbaijan,3202725.94,25.3
Burundi,124387.05,16.73
Belgium,62762811.8,13.5
Benin,610743.4,11.53
Bonaire,47211.08,6.05
Burkina Faso,884749.13,23.48
Bangladesh,13129261.52,16.3
Bulgaria,9094589.67,20
Bahrain,3010380.1,16.69
"Bahamas, The",648006.75,7.33
Bosnia and Herzegovina,2750349.38,14.47
Saint Barthélemy,8467.89,9.35
Belarus,8474811.98,18.29
Belize,130154.82,9.06
Bermuda,136966.09,5.66
Bolivia,1500738.06,20.19
Brazil,66286770.49,25.56
Barbados,249886.73,12.29
Brunei,688181.79,11.56
Bhutan,304939.35,26.67
Bunkers,677636.85,1.53
Bouvet Island,369.15,26.04
Botswana,873288.88,11.92
Central African Republic,110887.89,27.25
Canada,120084138.5,22.69
Cocos (Keeling) Islands,3264.71,26.95
Switzerland,63492141.97,12.54
Chile,21977676.62,22.28
China,855345754.6,35.35
Cote d'Ivoire,3004015.5,16.52
Cameroon,1561730.1,15.69
"Congo, Rep.",669521.58,17.93
Cook Islands,31258.97,15.24
Colombia,13241196.3,19.88
Comoros,36087.66,8.02
Cape Verde,158868.53,10.74
Costa Rica,4205890.7,22.6
Cuba,1210732.35,21.61
Curaçao,237219.87,16.47
Christmas Island,5163.49,14.32
Cayman Islands,181914.01,1.67
Cyprus,2473872,15.99
Czech Republic,67614512.1,36.02
Germany,338046913.1,24.97
Djibouti,698896.85,8.15
Dominica,38108.1,5.33
Denmark,24960235.73,21.56
Dominican Republic,3897175.08,15.15
Algeria,9937215.63,19.29
Ecuador,4308499.42,17.19
"Egypt, Arab Rep.",24574397.79,20.23
Eritrea,83222.16,22.84
Western Sahara,887.02,2.35
Spain,74128647.91,19.45
Estonia,5311252.65,20.61
Ethiopia(excludes Eritrea),2468636.38,24.95
Finland,19191768.06,23.57
Fiji,329219.5,15.53
Falkland Island,29101.9,14.43
France,139129839.6,20.35
Free Zones,108531.81,3.86
Faeroe Islands,351778.95,14.89
"Micronesia, Fed. Sts.",22923.76,16.94
Gabon,684295.16,22.52
United Kingdom,202019317.3,19.99
Georgia,1839219.76,14.79
Ghana,4392011.6,18.25
Gibraltar,153544.96,1
Guinea,1160257.51,18.42
"Gambia, The",151929.67,8.08
Guinea-Bissau,59446.72,10
Equatorial Guinea,201246,16.61
Greece,11640014.78,16.12
Grenada,51926.72,14.38
Greenland,305919.25,16.65
Guatemala,3195640.66,13.72
Guam,72632.06,8.28
Guyana,816668.09,24.82
"Hong Kong, China",478014557,63.72
Heard Island and McDonald Isla,91.85,20.13
Honduras,2287897.24,14.63
Croatia,5614855.51,16.13
Haiti,362702.98,7.64
Hungary,48332032.7,35.77
Indonesia,52822703.91,26.13
India,117513207.6,23.42
British Indian Ocean Ter.,6469.1,13.09
Ireland,23393561.67,23.36
"Iran, Islamic Rep.",10867202.74,28.67
Iraq,13884164.59,24.08
Iceland,2365195.7,22.12
Israel,27372386.4,23.41
Italy,99061347.49,18.3
Jamaica,683596.58,12.81
Jordan,3515635.02,13.74
Japan,175018984.9,24.85
Kazakhstan,13243957.61,24.27
Kenya,4182722.03,16.81
Kyrgyz Republic,1827501.7,13.5
Cambodia,4014344.48,10.62
Kiribati,24881.73,14.45
St. Kitts and Nevis,66091.06,21.35
"Korea, Rep.",169521973.9,28.27
Kuwait,6866811.1,16.42
Lao PDR,1324598.57,18.58
Lebanon,2092074.2,10.34
Liberia,929593.77,5.04
Libya,3918616.43,15.88
St. Lucia,117411.53,3.24
Sri Lanka,3808337.21,18.35
Lesotho,171761.46,10.64
Lithuania,7647541.43,18.69
Luxembourg,5477879.05,18.55
Latvia,4571109.28,17.63
Macao,2124477.67,13.3
Morocco,16689568.87,20.57
Moldova,1983742.54,17.76
Madagascar,665764.12,15.62
Maldives,453495.87,16.71
Mexico,167476542.6,32.81
Marshall Islands,516577.1,3.14
North Macedonia,3003266.9,17.09
Mali,1276006.65,20.86
Malta,1737188.25,8.11
Myanmar,3229568.91,13.62
Mongolia,1183078.29,17.16
Northern Mariana Islands,5717.74,8.58
Montenegro,566876.22,12.33
Mozambique,1663073.29,9.1
Mauritania,755248.81,16.46
Montserrat,3754.88,19.36
Mauritius,762600.88,14.27
Malawi,363011.3,20.39
Malaysia,101970606.7,37.79
Namibia,978226.25,14.05
New Caledonia,654771.07,19.57
Niger,360750.52,16.53
Norfolk Island,4003.99,11.1
Nigeria,11034052.74,15.43
Nicaragua,1216760.78,16.22
Niue,2445.63,6.4
Netherlands,174952241.9,25
Norway,34895276.99,22.43
Nepal,2069879.41,15.4
Nauru,15316.29,13.91
New Zealand,11848279.05,23.73
"Other Asia, nes",154543531.1,41.17
Oman,6414056.77,19.46
Pakistan,15655492.54,21.48
Panama,5369544.13,11.23
Pitcairn,892.26,14.41
Peru,11149086.77,21.93
Philippines,48187959.11,29.99
Palau,24808.27,18.32
Papua New Guinea,1000871.56,22.82
Poland,87677475.03,25.24
"Korea, Dem. Rep.",2230.76,0.78
Portugal,18263646.36,19.41
Paraguay,3686516.4,31.29
Occ.Pal.Terr,166987.51,9
French Polynesia,471910.76,18.53
Qatar,10045855.51,25.48
Romania,27921503.16,25.34
Russian Federation,114312774.6,30.92
Rwanda,462559.18,17.94
Saudi Arabia,37280257.43,21.43
Senegal,2705006.77,14.78
"Serbia, FR(Serbia/Montenegro)",13288805.87,23.57
Singapore,137374851.7,37.45
South Georgia and the South Sa,69.32,12.07
Saint Helena,9297.14,15.95
Solomon Islands,80161.73,16.5
Sierra Leone,263409.3,13.69
El Salvador,1809809.45,14.07
San Marino,64813.91,8.01
Somalia,589024.65,11.22
Special Categories,388400.23,0.45
Saint Pierre and Miquelon,23266.18,18.91
South Sudan,201224.92,21.5
Sao Tome and Principe,30854.2,14.57
Sudan,1497948.53,15.61
Suriname,433001.75,23.81
Slovak Republic,27954540.64,29.79
Slovenia,10690452.72,19.34
Sweden,43992734.21,26.16
Eswatini,207224.42,11.26
Saint Maarten (Dutch part),78577.56,11.44
Seychelles,180769.5,18.49
Syrian Arab Republic,377429.2,6.86
Turks and Caicos Isl.,38714.06,8.33
Chad,246899.25,18.69
Togo,1514113.94,9.79
Thailand,82714604.48,32.55
Tajikistan,896291.58,17.55
Tokelau,10369.29,65.38
Turkmenistan,1393831.53,26.54
East Timor,76870.08,9.21
Tonga,28738.34,12.15
Trinidad and Tobago,1223186,19.39
Tunisia,8367324.8,24.27
Turkey,70279769.39,21.24
Tuvalu,10486.61,6.19
Tanzania,2599529.61,14.15
Uganda,1146210.2,17.57
Ukraine,22100306.68,22.27
United States Minor Outlying I,18862.65,29.31
Unspecified,4315094.46,0.62
Uruguay,3549603.08,23.19
United States,956994624.1,29.07
Uzbekistan,6743658.58,26.15
Holy See,1424.5,0.89
St. Vincent and the Grenadines,55738.02,9.8
Venezuela,1463687.46,18.19
British Virgin Islands,46336.23,1.22
Vietnam,149655129.9,41.92
Vanuatu,55322.91,13.66
Wallis and Futura Isl.,9915.32,12.9
Samoa,56029.47,13.2
Yemen,1136028.07,8.37
South Africa,28619094.72,23.93
"Congo, Dem. Rep.",2242779.15,20.28
Zambia,1335486.27,16.96
Zimbabwe,1232722.7,22.15
