"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Afghanistan","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","Metal ores","Exports","EXP","t","0","0","0","0","0","1","0","5070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","311","12","0","4705","4705","4662","4920","5038","5171","5302"
"Afghanistan","Metal ores","Imports","IMP","t","42","1802","1056","1126","6509","8659","7274","11517","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108847","20215","63884","96872","0","0","0","35881","44592","0","397763","401316","392814","400871","414244","431328","445534"
"Afghanistan","Metal ores","Material Footprint (RMC)","MF","t","243882","239764","234620","225557","218312","212103","220500","215779","196285","192167","172883","164958","165584","161518","159104","159260","151346","125373","112542","124224","95423","195181","364468","481183","331810","674187","731886","906311","1545885","1053458","1678974","2220641","1510880","2040069","1643622","1823465","1637673","1384894","927769","1022152","1076041","1252183","1844626","1592500","1788933","1829861","1359333","1084935","1281293","1556782","1564798","1307914","1206759","1196770","1196360"
"Africa","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Africa","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Africa","Metal ores","Exports","EXP","t","43093607","41458349","42817839","38751893","46640668","33440631","37991109","40685489","43259232","49162591","41305501","55248115","27691919","35869653","43229908","1510159","1433634","890758","1108257","1040320","1855510","1789173","19885132","24161639","31707213","52031768","49416656","36362861","38555108","45680991","54895247","57414565","60979495","57140726","55811987","67647498","49049677","81390579","71968062","73420074","92447398","88100884","104040579","135442974","145812104","136720206","136183635","150204891","151644974","162619493","161228639","169071186","173603326","178653755","183854571"
"Africa","Metal ores","Imports","IMP","t","5292655","2617932","2266918","3137319","5885311","5973801","5265164","5695681","6007641","5656893","5982437","7305546","6895897","7244593","7732600","8059033","6608705","5499008","5300772","5272647","6369835","5671091","6175985","8119544","8627581","10039704","11697945","12655998","15841196","14007236","13047710","14531037","15398178","17009461","16998419","19840922","22391877","24972669","29502207","29755838","31096960","32192936","31701832","30774319","36259923","35193610","36075417","32856919","39758532","36278043","37090088","38250732","40196808","41640159","43678241"
"Africa","Metal ores","Material Footprint (RMC)","MF","t","112540366","113864998","114717193","122603759","133724514","123248011","119995294","116968033","110938168","108132551","118272842","112362199","108718541","109406712","111548158","111386160","103930408","101272245","99046094","101670569","107482503","92678227","90082442","93890834","88815342","82279064","80153552","84689986","95555901","91812975","89057019","98463474","116858552","133604105","121791859","142913123","162732224","194998621","211860334","234525208","223241843","242069985","238849824","251222850","249940772","232131217","214922995","206395800","218863224","243982128","256532537","246194747","246642378","247474377","254559204"
"Albania","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albania","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albania","Metal ores","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112059","74146","62634","32521","58110","44098","41793","115279","161361","266968","413724","738638","652923","576470","1001883","1315811","933237","1419894","1042903","1173782","769446","706303","583063","638473","619690","651383","676890","702472","727721"
"Albania","Metal ores","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59409","58224","85734","141637","180030","243119","260514","292016","242206","343768","420638","416848","351960","499519","351874","344932","296082","261985","99195","262924","271594","66264","64741","68045","64758","67390","69334","71023","72588"
"Albania","Metal ores","Material Footprint (RMC)","MF","t","1482606","1477924","2326751","1953916","1861396","1880552","1650272","1576296","1437743","1213097","1189782","1282409","1456626","1619024","1959770","2039660","1994473","1924771","1939359","2000867","2116524","545160","761698","540061","427365","375680","576441","610107","513304","627643","689740","755113","844009","984933","1320977","1467731","1591030","1829224","1810235","1764569","1932884","2182932","1830145","1908895","1928381","1672295","1811817","1840994","1787383","2080208","2279894","2541237","2584758","2755775","2874161"
"Algeria","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Algeria","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Algeria","Metal ores","Exports","EXP","t","3016341","2092054","0","1359124","3140536","1794938","1928026","349131","272699","132626","169808","1759399","1635401","1691483","1378528","157689","189963","269626","420081","214761","370191","366312","330810","375387","305907","335854","446371","419762","155877","294081","386340","316240","703100","174629","260031","188909","301667","339932","254565","98068","126718","124796","81206","57211","33452","23206","2927","29519","27877","26248","26075","27492","28368","29342","30363"
"Algeria","Metal ores","Imports","IMP","t","444557","476239","0","876257","1270498","1186310","934637","1343140","1800801","1477576","1563086","1799992","1785365","1787769","2329388","1690344","1507303","1130276","1039160","1385548","1118764","1202412","1416192","1258165","1825027","1594312","1189639","1205965","1422413","1545021","1617363","2056003","2338934","2667337","2807674","3381250","4111157","3884186","5118526","5887052","4640608","4719031","5509272","5848440","6465660","7346785","6380072","4100188","4209056","4317930","4337358","4528320","4725126","4839097","5092924"
